,Avg.income,Std.income
1/seed=10,185934.65656565657,100700.20160537757
2/seed=20,185194.56565656565,115375.28699386619
3/seed=30,217348.0127388535,82686.34716280579
4/seed=40,188121.18274111676,87678.2538259427
5/seed=50,194566.2375,98637.92729912646
6/seed=60,213039.36040609138,130364.22523432561
7/seed=70,197051.1624365482,91599.31055402916
8/seed=80,217560.40404040404,133002.40195620598
9/seed=90,255636.69696969696,112260.16333919721
10/seed=100,212207.36180904522,111368.57511888104
11/seed=11,174079.0303030303,86822.43025842328
12/seed=21,186009.13705583755,99122.8598424368
13/seed=31,197247.37563451775,123058.5579955739
14/seed=41,190748.01515151514,90116.74965668174
15/seed=51,176207.9898989899,85296.3728871007
16/seed=61,177351.45454545456,100588.64171614977
17/seed=71,190418.72864321608,104899.39237826897
18/seed=81,184967.2,103027.64856497297
19/seed=91,262397.3147208122,115153.44375738903
20/seed=101,184905.80303030304,97746.27774229411
21/seed=12,192573.81215469612,94340.00360038191
22/seed=22,208525.75126903554,77496.58554798385
23/seed=32,184917.4923857868,94384.87285277706
24/seed=42,212677.26395939087,74275.88387807138
25/seed=52,175898.53225806452,89087.27453586558
26/seed=62,205977.69696969696,116470.76136352011
27/seed=72,187700.6040609137,92357.21011800437
28/seed=82,197276.0,102321.34711620605
29/seed=92,191838.4619883041,111730.7734869985
30/seed=102,181667.75634517765,92894.87991927135
cluster_30,197668.16870795737,197668.16870795737
