,Avg.income,Std.income
1/seed=10,178564.805,90484.03533485545
2/seed=20,200142.87,102945.83166056086
3/seed=30,202841.45,126084.47204294935
4/seed=40,190746.495,87313.14472546054
5/seed=50,186394.585,92894.73295719578
6/seed=60,209959.8,120167.20451054606
7/seed=70,191598.28,113613.68896343876
8/seed=80,196705.325,112598.73312540694
9/seed=90,181714.73,97470.27653647847
10/seed=100,192487.34,106729.2802995066
11/seed=11,184122.12,100666.14035571336
12/seed=21,170271.405,94654.485558173
13/seed=31,190146.3,101363.79026280637
14/seed=41,191339.4,114709.04259917828
15/seed=51,189177.215,100433.36977044035
16/seed=61,184673.705,110177.9308993607
17/seed=71,189360.625,93756.24665320631
18/seed=81,184945.195,97156.8157108514
19/seed=91,187179.39,99288.42227661186
20/seed=101,203269.29,129623.41196784952
21/seed=12,184090.36,96587.04368511103
22/seed=22,192673.2,96674.32752526549
23/seed=32,190093.025,100590.06126202467
24/seed=42,191599.745,95841.8106144141
25/seed=52,194793.395,107961.18427345823
26/seed=62,184757.69,84439.91187252093
27/seed=72,183341.715,113801.5864628039
28/seed=82,184251.89,99247.21604767544
29/seed=92,189110.305,101043.28966787708
30/seed=102,201442.27,104245.22950263663
srs_30,190059.79733333326,190059.79733333326
