,Avg.income,Std.income
1/seed=10,206984.63978494622,107728.67591512622
2/seed=20,190421.43548387097,105819.37954554413
3/seed=30,190332.05376344087,99258.5472919345
4/seed=40,202217.13440860214,113377.70528477502
5/seed=50,191134.02150537635,97385.92141427654
6/seed=60,199225.8817204301,91814.80034796834
7/seed=70,201895.66129032258,115827.0212053572
8/seed=80,204683.82258064515,107398.96160882949
9/seed=90,197968.36559139786,109900.21157427781
10/seed=100,196570.7741935484,108473.22893881972
11/seed=11,179759.6182795699,94715.09925409449
12/seed=21,185128.20967741936,99017.85983425312
13/seed=31,192048.0752688172,101574.80070315764
14/seed=41,182384.25806451612,98236.01376457956
15/seed=51,179921.06451612903,90075.2917196775
16/seed=61,199110.0376344086,107817.08732003922
17/seed=71,177841.8494623656,101664.32685768329
18/seed=81,191672.24193548388,101961.92518710141
19/seed=91,192490.94086021505,108929.36450409851
20/seed=101,186267.93548387097,126555.91175503086
21/seed=12,190359.10215053763,115221.59366924847
22/seed=22,195823.70967741936,94212.18201543707
23/seed=32,196642.08602150538,114998.06976200578
24/seed=42,199017.29032258064,133896.46142970448
25/seed=52,184627.5698924731,99639.96941078203
26/seed=62,195798.67204301077,108397.09472607663
27/seed=72,194729.16666666666,114146.39616055488
28/seed=82,197340.3440860215,101124.69426625293
29/seed=92,192364.86021505378,120180.7992194185
30/seed=102,195065.6559139785,108928.44927044885
stratifiedrs_30,192994.21594982082,192994.21594982082
