,Avg.income,Std.income
1/seed=10,195446.22277227722,110286.1715509161
2/seed=20,189205.28217821784,106790.98803558518
3/seed=30,188943.1485148515,109804.90192837577
4/seed=40,193347.85643564357,97635.4049101775
5/seed=50,195442.05445544556,103615.1907174567
6/seed=60,195334.06435643564,99960.51240972476
7/seed=70,194271.24257425743,116965.11735809357
8/seed=80,200508.86633663366,99934.57556063635
9/seed=90,189545.35643564357,104204.21622752947
10/seed=100,200828.37623762377,99699.74573412804
11/seed=11,191697.46534653465,106130.42739912846
12/seed=21,192374.90594059406,98702.7577000667
13/seed=31,186518.10396039605,104656.82239293888
14/seed=41,188145.44059405942,113171.03976900163
15/seed=51,204659.52475247523,102895.06747226165
16/seed=61,184791.32673267327,95933.63815090011
17/seed=71,201151.0,102962.51712717682
18/seed=81,194967.90594059406,105810.88846365824
19/seed=91,199220.81683168316,104696.65435141286
20/seed=101,194413.55940594058,120258.70630597607
21/seed=12,196664.92574257427,119387.79646357201
22/seed=22,194039.5693069307,108700.15035464319
23/seed=32,189843.05940594058,109897.92481038164
24/seed=42,180425.28712871287,101214.8218228122
25/seed=52,189979.9900990099,99484.74916372387
26/seed=62,177444.71287128713,97934.86747649449
27/seed=72,190507.9603960396,107784.75381700078
28/seed=82,198068.76237623763,103552.19250527592
29/seed=92,176636.3514851485,90439.23607764872
30/seed=102,197417.70297029702,119530.23265961868
stratifiedrs_30,192394.69471947194,192394.69471947194
