,Avg.income,Std.income
1/seed=10,189315.8,102137.04864499238
2/seed=20,205648.065,107190.45438267624
3/seed=30,188252.11,99999.34282200084
4/seed=40,184755.085,104368.01631195367
5/seed=50,203142.415,119685.34628079807
6/seed=60,203710.225,102431.83436918214
7/seed=70,183345.185,110019.66153662693
8/seed=80,198332.53,108884.94838153412
9/seed=90,189714.745,103934.07775621596
10/seed=100,197343.995,104269.36373293611
11/seed=11,198851.78,107868.73318001335
12/seed=21,185638.935,93571.97018800607
13/seed=31,192615.17,98116.08427207808
14/seed=41,184906.365,98612.54893577094
15/seed=51,186489.69,97924.05535254012
16/seed=61,203270.345,127618.21829724309
17/seed=71,189011.83,97524.82779061465
18/seed=81,187293.93,99872.1978412577
19/seed=91,191896.015,112887.31256627983
20/seed=101,163272.385,92673.72636198382
21/seed=12,189202.805,124214.52988543762
22/seed=22,205021.31,103817.4041079939
23/seed=32,198446.045,133223.00942873658
24/seed=42,180080.075,100252.91305989237
25/seed=52,182001.515,88226.75352759994
26/seed=62,195742.835,94455.48162469207
27/seed=72,186916.76,101597.31367903574
28/seed=82,185390.865,99897.34903679712
29/seed=92,178938.695,96064.62269770405
30/seed=102,194056.515,111812.83834162254
stratifiedrs_30,190753.4673333333,190753.4673333333
