,Avg.income,Std.income
1/seed=10,183692.44949494948,97050.76474907697
2/seed=20,174217.19696969696,103489.18397148002
3/seed=30,192367.7676767677,114442.07591379333
4/seed=40,191521.2323232323,105824.56780038675
5/seed=50,181355.24747474748,103687.49098123713
6/seed=60,199890.54545454544,96786.33309814053
7/seed=70,180169.64141414143,95027.8773295719
8/seed=80,189829.6717171717,107966.04152885039
9/seed=90,182400.9393939394,101587.34728054894
10/seed=100,202665.53535353535,130387.17222047196
11/seed=11,188934.44444444444,104124.46938186661
12/seed=21,187738.0303030303,100272.4222128678
13/seed=31,180960.37373737374,107782.61921781972
14/seed=41,189263.25252525252,91312.78494005928
15/seed=51,189047.9696969697,90918.993799937
16/seed=61,184543.64141414143,121687.57358578414
17/seed=71,182018.55050505052,89903.77085339566
18/seed=81,188446.96464646465,95620.3995080811
19/seed=91,198204.28787878787,89881.3339088346
20/seed=101,198947.4595959596,109715.97947920856
21/seed=12,201764.37373737374,133396.6139442398
22/seed=22,187623.00505050505,102777.39439929186
23/seed=32,198377.94949494948,108706.29634190042
24/seed=42,198238.16666666666,118707.9902067309
25/seed=52,187258.92424242425,104334.28340878997
26/seed=62,193832.1717171717,100768.42706451588
27/seed=72,200959.1717171717,111834.17355223981
28/seed=82,183713.01515151514,94656.61238555609
29/seed=92,189024.46464646465,122185.82485671157
30/seed=102,189732.4898989899,111314.35163064858
stratifiedrs_30,189891.2978114478,189891.2978114478
