,Avg.income,Std.income
1/seed=10,198146.765,132629.04225575237
2/seed=20,188070.86,109265.73158683573
3/seed=30,182458.885,102250.08531928362
4/seed=40,189790.035,131763.6445560659
5/seed=50,189297.675,109664.06565309901
6/seed=60,187111.93,95638.61398935114
7/seed=70,197889.69,101795.81856550397
8/seed=80,180636.36,96245.41445193911
9/seed=90,183334.6,103525.91207312724
10/seed=100,178067.495,98042.59584291956
11/seed=11,195343.12,99012.89359018402
12/seed=21,201103.775,120621.99208809675
13/seed=31,185866.25,117834.76374159576
14/seed=41,185938.345,91463.95043492151
15/seed=51,187602.12,95729.8881077441
16/seed=61,172844.99,90787.91792029048
17/seed=71,192009.595,114907.11187563186
18/seed=81,190268.12,96119.60203957793
19/seed=91,190074.68,117032.39743886751
20/seed=101,204188.665,115256.35627265432
21/seed=12,182523.955,103662.53708659227
22/seed=22,179217.54,94706.14169260566
23/seed=32,200240.975,105484.56075089106
24/seed=42,192622.89,110104.80561649949
25/seed=52,190728.095,106353.74548193476
26/seed=62,185160.17,93200.60784751795
27/seed=72,211146.975,119214.6494232564
28/seed=82,192067.15,116590.14307206817
29/seed=92,197123.87,109029.8105622462
30/seed=102,205845.8,115080.50821086232
stratifiedrs_30,190557.37916666662,190557.37916666662
