,Avg.income,Std.income
1/seed=10,195725.715,101374.75883050718
2/seed=20,184003.37,103772.54854265794
3/seed=30,178949.475,103544.00722325084
4/seed=40,187691.795,97116.43885735642
5/seed=50,188490.28,109363.59490527281
6/seed=60,189184.88,99228.38530023587
7/seed=70,202490.29,108062.40284701827
8/seed=80,197738.425,103392.11523004588
9/seed=90,194676.64,98839.52998755714
10/seed=100,192224.83,94483.4892248461
11/seed=11,193812.41,108074.1929491958
12/seed=21,194830.375,98157.4311251564
13/seed=31,186621.525,88655.45055361066
14/seed=41,192654.03,103545.51524598677
15/seed=51,183164.975,98341.99494669026
16/seed=61,186035.81,99564.37453939536
17/seed=71,192842.84,101211.37794622335
18/seed=81,193559.695,99114.01867445887
19/seed=91,194585.465,102559.86137889943
20/seed=101,196533.765,122167.48233276895
21/seed=12,196119.195,97781.85012699582
22/seed=22,187766.32,93156.14321153407
23/seed=32,195662.755,107729.73800449698
24/seed=42,183468.24,101337.8670862494
25/seed=52,194939.245,106045.81958342619
26/seed=62,205181.185,106656.37617312287
27/seed=72,194476.135,102218.02945589398
28/seed=82,209151.8,101077.0697332948
29/seed=92,207609.115,139602.0814891824
30/seed=102,201409.225,103368.49994052421
stratifiedrs_30,193386.66016666664,193386.66016666664
