,Avg.income,Std.income
1/seed=10,188735.2736318408,96997.54913295362
2/seed=20,188100.23880597015,92293.38038815504
3/seed=30,197586.8457711443,97620.93686075283
4/seed=40,197890.41293532337,118704.89979800173
5/seed=50,182968.2985074627,93945.11787991141
6/seed=60,192339.23383084577,100786.33506899659
7/seed=70,190262.9054726368,106053.88700837901
8/seed=80,182312.76119402985,100830.73251723748
9/seed=90,199331.07960199006,99156.56686399358
10/seed=100,193883.79104477612,106541.05638858721
11/seed=11,187543.34825870648,112460.12366949503
12/seed=21,184405.26368159204,90965.26147565962
13/seed=31,194569.71144278607,147193.61543200954
14/seed=41,195748.71641791044,116260.48641023388
15/seed=51,202568.86069651743,114717.04237087222
16/seed=61,186688.4975124378,88761.92423050123
17/seed=71,191120.14427860695,103426.09442923038
18/seed=81,194155.78109452737,112519.8362843719
19/seed=91,193054.41293532337,124572.1546591116
20/seed=101,197397.24378109453,117723.75333374858
21/seed=12,198895.5223880597,119194.49105311348
22/seed=22,178591.98507462686,93715.5435313416
23/seed=32,188791.31343283583,87546.63273345394
24/seed=42,204797.89552238805,138319.14652691444
25/seed=52,184459.35820895524,99835.79089315137
26/seed=62,175270.33333333334,95555.71120531378
27/seed=72,186732.25373134328,101000.3934989874
28/seed=82,193530.71641791044,99366.92397646297
29/seed=92,194722.89054726367,106808.18627763493
30/seed=102,192473.05970149254,106039.16201925787
systematic_30,191297.60497512438,191297.60497512438
