,Avg.income,Std.income
1/seed=10,183519.5024875622,105182.1841085801
2/seed=20,187686.54228855722,102847.13240955943
3/seed=30,190077.2935323383,103467.14884608738
4/seed=40,179405.49253731343,88901.48050016488
5/seed=50,186663.37313432837,103033.19131602725
6/seed=60,173812.30845771145,94916.48001124136
7/seed=70,191066.60696517414,102085.95671785492
8/seed=80,194626.78109452737,121172.23472958585
9/seed=90,198821.03980099503,110436.61561265992
10/seed=100,189152.81592039802,118247.52435370872
11/seed=11,182493.05472636817,96605.56806821225
12/seed=21,199087.33333333334,122017.04589250365
13/seed=31,189975.2736318408,100561.40609155061
14/seed=41,195868.96517412935,108903.67916353326
15/seed=51,182555.25870646766,95774.08619753433
16/seed=61,195124.37313432837,133594.84177128653
17/seed=71,187504.07462686568,110662.51436705838
18/seed=81,185572.02985074627,110393.42249613015
19/seed=91,187358.08457711444,107372.4652199893
20/seed=101,178777.92537313432,96499.43627798762
21/seed=12,198628.10945273633,109315.69510540542
22/seed=22,197502.35820895524,106983.4541237618
23/seed=32,197630.4776119403,108435.7606981698
24/seed=42,217262.50746268657,161947.50201031563
25/seed=52,176877.16417910447,104305.77050915213
26/seed=62,200551.19900497512,107054.64116660334
27/seed=72,198138.64676616914,107660.25332883815
28/seed=82,191942.94029850746,111785.9157509407
29/seed=92,183958.60696517414,104466.93469418805
30/seed=102,189842.64179104476,136021.43113182954
systematic_30,190382.75936981756,190382.75936981756
