,Avg.income,Std.income
1/seed=10,202053.46268656716,125887.60068751748
2/seed=20,179847.14925373133,106169.06721812906
3/seed=30,176735.07960199006,100847.71124732397
4/seed=40,200423.2288557214,122238.98077674466
5/seed=50,198132.46268656716,112486.29014893262
6/seed=60,189856.64179104476,105038.0229318462
7/seed=70,193251.20895522388,107601.82285057314
8/seed=80,193051.75621890547,137384.02565693465
9/seed=90,190131.63681592038,109154.93180389256
10/seed=100,191634.69651741293,95754.97477072632
11/seed=11,203952.14925373133,132035.10973770433
12/seed=21,192341.58706467663,95533.14123587494
13/seed=31,196359.85074626867,116936.40556626326
14/seed=41,193162.66169154228,113766.28946553094
15/seed=51,194624.5721393035,102066.66850336606
16/seed=61,185426.24378109453,94680.26033643588
17/seed=71,188916.42288557213,96573.38925959505
18/seed=81,202240.16915422885,137248.1543086873
19/seed=91,194605.7064676617,111152.17739459005
20/seed=101,194435.68656716417,119666.21593347171
21/seed=12,186852.0447761194,87857.04604084401
22/seed=22,184398.51243781095,91594.85226190985
23/seed=32,193429.5472636816,100842.74119280475
24/seed=42,188880.776119403,98147.49291996523
25/seed=52,185858.21393034825,93368.10861685593
26/seed=62,194442.7263681592,111745.72727093303
27/seed=72,196393.8855721393,114435.95859934867
28/seed=82,191634.69651741293,95754.97477072632
29/seed=92,192878.31343283583,102140.43778091154
30/seed=102,191634.69651741293,95754.97477072632
systematic_30,192252.85953565504,192252.85953565504
