,Avg.income,Std.income
1/seed=10,205233.5671641791,117663.46728665072
2/seed=20,191941.75621890547,123127.53065084701
3/seed=30,194071.12437810947,100406.02798412778
4/seed=40,185973.1791044776,96636.47358548307
5/seed=50,197535.79104477612,104859.9449602951
6/seed=60,195730.07462686568,113888.22981036894
7/seed=70,190655.30845771145,117650.35075440443
8/seed=80,188114.66666666666,100173.74025498558
9/seed=90,201007.78109452737,107503.80461700803
10/seed=100,198675.91542288556,95257.34815308377
11/seed=11,181674.24378109453,97525.70348710782
12/seed=21,198348.51741293533,107952.3420934022
13/seed=31,186158.55223880598,93851.22991031341
14/seed=41,193039.9054726368,97222.99041798714
15/seed=51,195264.32835820896,112029.67640978727
16/seed=61,192277.43781094527,110019.44322003888
17/seed=71,191073.85074626867,96934.25614630574
18/seed=81,193663.59701492538,113304.6048043582
19/seed=91,202282.2487562189,109291.41671836727
20/seed=101,190834.96517412935,121023.5920436333
21/seed=12,202274.51741293533,104974.96254484182
22/seed=22,185272.6815920398,100320.90268278144
23/seed=32,185183.26865671642,113781.96509995537
24/seed=42,188185.8208955224,98862.58351281217
25/seed=52,194534.62686567163,111259.18085171698
26/seed=62,189235.19900497512,99119.69819107704
27/seed=72,200825.26865671642,107250.59960143564
28/seed=82,195734.4527363184,98475.37993122445
29/seed=92,176138.3432835821,97546.95889737703
30/seed=102,186697.0248756219,96953.10391181077
systematic_30,192587.9338308458,192587.9338308458
